,Week,Year,away,clock,defense,defense_conference,defense_score,defense_timeouts,distance,down,drive_id,drive_number,game_id,home,id,offense,offense_conference,offense_score,offense_timeouts,period,play_number,play_text,play_type,ppa,scoring,yard_line,yards_gained,yards_to_goal
102,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,3,3,40054809812,12,400548098,Army,400548098103879206,Army,FBS Independents,21,3,3,6,Angel Santiago sacked by Tedroy Lynch for a loss of 7 yards to the Army 46,Sack,-2.09113539075272035,False,53,-7,47
103,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,10,4,40054809812,12,400548098,Army,400548098103879207,Army,FBS Independents,21,3,3,7,"Alex Tardieu punt for 39 yds, fair catch by Marcus McGill at the Buff 15",Punt,,False,46,0,54
109,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 4}",Buffalo,Mid-American,3,3,10,1,40054809814,14,400548098,Army,400548098103939501,Army,FBS Independents,28,3,3,1,"Larry Dixon run for 45 yds for a TD, (Daniel Grochowski KICK)",Rushing Touchdown,3.476514085067068,True,55,45,45
110,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 4}",Buffalo,Mid-American,3,3,0,1,40054809815,15,400548098,Army,400548098103939503,Army,FBS Independents,28,3,3,1,"Daniel Grochowski kickoff for 48 yds , Jamarl Eiland return for 21 yds to the Buff 38",Kickoff,,False,35,21,65
117,2.0,2014.0,Buffalo,"{'minutes': 4, 'seconds': 12}",Buffalo,Mid-American,10,3,10,1,40054809816,16,400548098,Army,400548098103958701,Army,FBS Independents,28,3,3,2,Matt Giachinta run for 1 yd to the Buff 41,Rush,-0.6970479149495327,False,58,1,42
118,2.0,2014.0,Buffalo,"{'minutes': 3, 'seconds': 30}",Buffalo,Mid-American,10,3,9,2,40054809816,16,400548098,Army,400548098103966901,Army,FBS Independents,34,3,3,3,"Terry Baggett run for 41 yds for a TD, (Daniel Grochowski BLOCKED)",Rushing Touchdown,3.9919833865216567,True,59,41,41
119,2.0,2014.0,Buffalo,"{'minutes': 3, 'seconds': 30}",Buffalo,Mid-American,10,3,0,1,40054809817,17,400548098,Army,400548098103966903,Army,FBS Independents,34,3,3,1,"Daniel Grochowski kickoff for 62 yds , Devin Campbell return for 19 yds to the Buff 22",Kickoff,,False,35,19,65
125,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 54}",Buffalo,Mid-American,17,3,10,1,40054809818,18,400548098,Army,400548098103984504,Army,FBS Independents,34,3,3,2,"ARMY Penalty, false start (N/A) to the Army 20",Penalty,,False,25,-5,75
126,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 54}",Buffalo,Mid-American,17,3,15,1,40054809818,18,400548098,Army,400548098103984505,Army,FBS Independents,34,3,3,3,Larry Dixon run for 57 yds to the Buff 23 for a 1ST down,Rush,4.15519541989974077,False,20,57,80
127,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 54}",Buffalo,Mid-American,17,3,10,1,40054809818,18,400548098,Army,400548098103984506,Army,FBS Independents,34,3,3,4,Larry Dixon run for 5 yds to the Buff 18,Rush,0.0748292871583285,False,77,5,23
128,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 54}",Buffalo,Mid-American,17,3,5,2,40054809818,18,400548098,Army,400548098103984507,Army,FBS Independents,34,3,3,5,Raymond Maples run for no gain to the Buff 18,Rush,-0.4481008553640163,False,82,0,18
129,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 54}",Buffalo,Mid-American,17,3,5,3,40054809818,18,400548098,Army,400548098103984508,Army,FBS Independents,34,3,3,6,Angel Santiago run for 3 yds to the Buff 15,Rush,-0.1706610040595873,False,82,3,18
130,2.0,2014.0,Buffalo,"{'minutes': 0, 'seconds': 0}",Buffalo,Mid-American,17,3,0,0,40054809818,18,400548098,Army,400548098103984509,Army,FBS Independents,34,3,3,7,End of 3rd Quarter,End Period,,False,0,0,100
131,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,2,4,40054809818,18,400548098,Army,400548098104849901,Army,FBS Independents,34,3,4,8,Matt Giachinta run for 3 yds to the Buff 12 for a 1ST down,Rush,0.6778157083005781,False,85,3,15
132,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,10,1,40054809818,18,400548098,Army,400548098104849902,Army,FBS Independents,34,3,4,9,Matt Giachinta run for 6 yds to the Buff 6,Rush,0.1802070190916435,False,88,6,12
133,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,4,2,40054809818,18,400548098,Army,400548098104849903,Army,FBS Independents,34,3,4,10,Angel Santiago run for 2 yds to the Buff 4,Rush,-0.214637322558069,False,94,2,6
134,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,2,3,40054809818,18,400548098,Army,400548098104849904,Army,FBS Independents,34,3,4,11,Matt Giachinta run for no gain to the Buff 4,Rush,-0.323214075276433,False,96,0,4
135,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,2,4,40054809818,18,400548098,Army,400548098104849905,Army,FBS Independents,34,3,4,12,Terry Baggett run for 2 yds to the Buff 2 for a 1ST down,Rush,,False,96,2,4
136,2.0,2014.0,Buffalo,"{'minutes': 15, 'seconds': 0}",Buffalo,Mid-American,17,3,2,1,40054809818,18,400548098,Army,400548098104849906,Army,FBS Independents,34,3,4,13,Matt Giachinta run for a loss of 2 yards to the Buff 4,Rush,-1.1206549427758625,False,98,-2,2
137,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 1}",Buffalo,Mid-American,17,3,4,2,40054809818,18,400548098,Army,400548098104879801,Army,FBS Independents,40,3,4,14,"Angel Santiago 4 Yd Run (Daniel Grochowski PAT blocked), (Daniel Grochowski BLOCKED)",Rushing Touchdown,2.3338902404479605,True,96,4,4
138,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 1}",Buffalo,Mid-American,17,3,0,1,40054809819,19,400548098,Army,400548098104879803,Army,FBS Independents,40,3,4,1,"Daniel Grochowski kickoff for 44 yds , Greg Lis return for 13 yds to the Buff 48 BUFFALO Penalty, Offensive holding (10 Yards) to the Buff 24",Kickoff,,False,35,13,65
140,2.0,2014.0,Buffalo,"{'minutes': 11, 'seconds': 43}",Buffalo,Mid-American,17,3,10,1,40054809820,20,400548098,Army,400548098104885601,Army,FBS Independents,40,3,4,1,A.J. Schurr pass complete to Edgar Poe for 29 yds to the Buff 4 for a 1ST down,Pass Reception,1.214884254788013,False,67,29,33
141,2.0,2014.0,Buffalo,"{'minutes': 11, 'seconds': 10}",Buffalo,Mid-American,17,3,4,1,40054809820,20,400548098,Army,400548098104888901,Army,FBS Independents,47,3,4,2,"Matt Giachinta run for 4 yds for a TD, (Cale Brewer KICK)",Rushing Touchdown,1.688190518713975,True,96,4,4
142,2.0,2014.0,Buffalo,"{'minutes': 11, 'seconds': 10}",Buffalo,Mid-American,17,3,0,1,40054809821,21,400548098,Army,400548098104888903,Army,FBS Independents,47,3,4,1,Mitchell Howard kickoff for 65 yds for a touchback,Kickoff,,False,35,0,65
162,2.0,2014.0,Buffalo,"{'minutes': 5, 'seconds': 57}",Buffalo,Mid-American,31,2,10,1,40054809823,23,400548098,Army,400548098104944201,Army,FBS Independents,47,2,4,2,Larry Dixon run for 3 yds to the Buff 40,Rush,-0.3057652594509188,False,57,3,43
163,2.0,2014.0,Buffalo,"{'minutes': 5, 'seconds': 57}",Buffalo,Mid-American,31,2,7,2,40054809823,23,400548098,Army,400548098104944202,Army,FBS Independents,47,2,4,3,"Angel Santiago run for a loss of 1 yard to the Buff 33 Angel Santiago fumbled, forced by Ryan Williamson, recovered by Buff Lee Skinner",Fumble Recovery (Opponent),,False,60,-1,40
175,2.0,2014.0,Buffalo,"{'minutes': 2, 'seconds': 38}",Buffalo,Mid-American,39,1,10,1,40054809825,25,400548098,Army,400548098104976101,Army,FBS Independents,47,2,4,2,Larry Dixon run for 1 yd to the Army 45,Rush,-0.9290991816818685,False,44,1,56
176,2.0,2014.0,Buffalo,"{'minutes': 2, 'seconds': 38}",Buffalo,Mid-American,39,1,9,2,40054809825,25,400548098,Army,400548098104976102,Army,FBS Independents,47,2,4,3,Larry Dixon run for 2 yds to the Army 47,Rush,-0.5942523429465449,False,45,2,55
177,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 50}",Buffalo,Mid-American,39,0,7,3,40054809825,25,400548098,Army,400548098104984901,Army,FBS Independents,47,2,4,4,"Timeout BUFFALO, clock 01:50",Timeout,,False,47,0,53
178,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 50}",Buffalo,Mid-American,39,0,7,3,40054809825,25,400548098,Army,400548098104984902,Army,FBS Independents,47,2,4,5,Larry Dixon run for no gain to the Army 47,Rush,-0.7482086578938967,False,47,0,53
179,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 6}",Buffalo,Mid-American,39,0,7,4,40054809825,25,400548098,Army,400548098104989301,Army,FBS Independents,47,1,4,6,"Timeout ARMY, clock 01:06",Timeout,,False,47,0,53
180,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 6}",Buffalo,Mid-American,39,0,7,4,40054809825,25,400548098,Army,400548098104989302,Army,FBS Independents,47,1,4,7,"Alex Tardieu punt for 28 yds, downed at the Buff 25",Punt,,False,47,0,53
185,2.0,2014.0,Buffalo,"{'seconds': 30, 'minutes': 0}",Buffalo,Mid-American,39,0,10,1,40054809827,27,400548098,Army,400548098104996901,Army,FBS Independents,47,1,4,1,Angel Santiago run for a loss of 1 yard to the Buff 35,Rush,-0.83111511535939,False,66,-1,34
186,2.0,2014.0,Buffalo,"{'minutes': 0, 'seconds': 0}",Buffalo,Mid-American,39,0,0,0,40054809827,27,400548098,Army,400548098104999902,Army,FBS Independents,47,1,4,2,End of 4th Quarter,End of Game,,False,0,0,100
