,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,homeAway,id,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,week,yardsPerPass,yardsPerRushAttempt,year
0,3-8,0,26,4-5,0,0,away,401013066,0,0,1,,,,4,40,1,1,0,21,44:41,,,,0,78,3,339,1,26,2,13-21,,6-50,379,1,4.0,5.0,4.3,2018.0
0,4-5,0,25,3-3,0,0,away,401013369,,,1,0,7,1,7,91,5,,1,42,37:34,,,,1,64,4,281,0,36,4,9-14,,7-73,372,1,5.0,18.2,4.4,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,6.0,,,2018.0
0,2-5,1,23,3-3,0,4,away,401013370,,,0,,,,10,54,3,,1,52,37:17,0,34,2,0,65,5,341,5,33,10,10-16,0,3-15,395,0,7.0,10.8,5.2,2018.0
0,0-2,0,20,3-4,0,0,home,401013371,,,0,0,24,2,7,0,6,,0,31,36:08,0,10,1,0,74,4,347,1,34,6,8-17,1,1-5,347,0,8.0,0.0,4.7,2018.0
0,7-8,0,27,4-4,0,1,away,401013372,,,0,,,,13,126,3,,2,37,45:31,0,8,1,2,72,2,291,1,20,3,10-19,0,3-25,417,0,9.0,15.8,4.0,2018.0
0,3-5,0,16,3-3,0,0,home,401013373,0,0,0,0,5,1,5,44,2,1,0,17,37:32,0,17,1,0,59,2,242,0,35,3,8-16,,5-69,286,0,10.0,8.8,4.1,2018.0
0,5-6,0,23,0-0,1,0,home,401013374,,,0,0,21,1,7,95,1,,0,31,38:02,0,33,2,0,57,4,313,1,26,6,12-13,3,6-40,408,1,11.0,15.8,5.5,2018.0
0,2-6,0,21,1-1,1,1,home,401013375,,,0,0,23,1,4,25,2,,0,28,35:56,0,12,1,0,59,4,261,0,28,2,8-12,1,3-25,286,1,12.0,4.2,4.4,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,13.0,,,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,14.0,,,2018.0
0,4-9,0,12,1-3,0,2,home,401013376,0,11,0,0,38,2,5,61,6,2,0,17,34:21,0,4,2,0,50,2,222,1,26,6,5-14,0,3-25,283,0,15.0,6.8,4.4,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,16.0,,,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2018.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2018.0
0,3-8,0,17,1-2,1,0,home,401114238,,,0,0,14,2,2,53,3,,1,14,34:51,0,0,1,0,56,1,231,0,52,3,9-15,2,4-26,284,1,1.0,6.6,4.1,2019.0
